Name,coordinates,FEATUREID,ΚΩΔΙΚΟΣ ΓΡΑΜΜΗΣ,DXF_LAYER,DESCRIPTION_GR,DESCRIPTION_EN
TLCH,"<MultiGeometry><LinearString><coordinates> 33.35528742600008,35.16017291800006,0 33.35514565300008,35.16015203900003,0 33.35508893800005,35.16014409200005,0 33.35490937700007,35.16011401700007,0</coordinates></LinearString></MultiGeometry>",885,1265,TLCH,Κανάλι,Channel
TLPENCIL,"<MultiGeometry><LinearString><coordinates> 33.35490937700007,35.16011401700007,0 33.35491369700003,35.16012866200003,0</coordinates></LinearString></MultiGeometry>",886,1422,TLPENCIL,Γραμμή (μολύβι) μη  προτεινόμενο  σύνορο,Pencil Lines-Not Proposed Boundaries
TLCH,"<MultiGeometry><LinearString><coordinates> 33.35460782100006,35.16007749400006,0 33.35471170800003,35.16012972100003,0 33.35473569100003,35.16013180200002,0 33.35492360600006,35.16016226600004,0</coordinates></LinearString></MultiGeometry>",887,1265,TLCH,Κανάλι,Channel
TLSLNOB,"<MultiGeometry><LinearString><coordinates> 33.35462224500003,35.16006505100006,0 33.35475357100006,35.16010556200007,0 33.35491369700003,35.16012866200003,0</coordinates></LinearString></MultiGeometry>",888,1413,TLSLNOB,Κορυφή πλαγιάς που δεν είναι σύνορο,Top of Slope (No Boundary)
TLPENCIL,"<MultiGeometry><LinearString><coordinates> 33.35462224500003,35.16006505100006,0 33.35460782100006,35.16007749400006,0</coordinates></LinearString></MultiGeometry>",889,1422,TLPENCIL,Γραμμή (μολύβι) μη  προτεινόμενο  σύνορο,Pencil Lines-Not Proposed Boundaries
TLPENCIL,"<MultiGeometry><LinearString><coordinates> 33.35452815000008,35.16000018300008,0 33.35462224500003,35.16006505100006,0</coordinates></LinearString></MultiGeometry>",890,1422,TLPENCIL,Γραμμή (μολύβι) μη  προτεινόμενο  σύνορο,Pencil Lines-Not Proposed Boundaries
TLSLNOB,"<MultiGeometry><LinearString><coordinates> 33.35452815000008,35.16000018300008,0 33.35457648500005,35.16005093500007,0 33.35462224500003,35.16006505100006,0</coordinates></LinearString></MultiGeometry>",891,1413,TLSLNOB,Κορυφή πλαγιάς που δεν είναι σύνορο,Top of Slope (No Boundary)
TLSLNOB,"<MultiGeometry><LinearString><coordinates> 33.35445008400006,35.15991350100006,0 33.35452815000008,35.16000018300008,0</coordinates></LinearString></MultiGeometry>",892,1413,TLSLNOB,Κορυφή πλαγιάς που δεν είναι σύνορο,Top of Slope (No Boundary)
TLSLNOB,"<MultiGeometry><LinearString><coordinates> 33.35444635400006,35.15990558300007,0 33.35445008400006,35.15991350100006,0</coordinates></LinearString></MultiGeometry>",893,1413,TLSLNOB,Κορυφή πλαγιάς που δεν είναι σύνορο,Top of Slope (No Boundary)
TLSLNOB,"<MultiGeometry><LinearString><coordinates> 33.35439221900003,35.15994408700004,0 33.35434076700005,35.15988750800005,0</coordinates></LinearString></MultiGeometry>",894,1413,TLSLNOB,Κορυφή πλαγιάς που δεν είναι σύνορο,Top of Slope (No Boundary)
TLPENCIL,"<MultiGeometry><LinearString><coordinates> 33.35460782100006,35.16007749400006,0 33.35459609400004,35.16008757400005,0 33.35457534000005,35.16007508400003,0 33.35453348300007,35.16004485800005,0 33.35449885200006,35.16001960900007,0 33.35445428600008,35.15998087400004,0 33.35441695600008,35.15994671300007,0 33.35438650100008,35.15991228400003,0 33.35435178000006,35.15987393500006,0</coordinates></LinearString></MultiGeometry>",895,1422,TLPENCIL,Γραμμή (μολύβι) μη  προτεινόμενο  σύνορο,Pencil Lines-Not Proposed Boundaries
TLFNWL,"<MultiGeometry><LinearString><coordinates> 33.35439221900003,35.15994408700004,0 33.35435178000006,35.15987393500006,0</coordinates></LinearString></MultiGeometry>",896,1207,TLFNWL,"Περιτοίχισμα ή περίφραξη (χρησιμοποιείται μόνο 

σε  περιπτώσεις ψηφιοποίησης)",Fence or Wall
TLFNWL,"<MultiGeometry><LinearString><coordinates> 33.35663669400003,35.15975426600005,0 33.35636110600007,35.15980723200005,0</coordinates></LinearString></MultiGeometry>",897,1207,TLFNWL,"Περιτοίχισμα ή περίφραξη (χρησιμοποιείται μόνο 

σε  περιπτώσεις ψηφιοποίησης)",Fence or Wall
TLFNWL,"<MultiGeometry><LinearString><coordinates> 33.35435178000006,35.15987393500006,0 33.35427740500006,35.15974491100008,0</coordinates></LinearString></MultiGeometry>",898,1207,TLFNWL,"Περιτοίχισμα ή περίφραξη (χρησιμοποιείται μόνο 

σε  περιπτώσεις ψηφιοποίησης)",Fence or Wall
TLCHAIN,"<MultiGeometry><LinearString><coordinates> 33.34913558300008,35.16437463100004,0 33.34921796200007,35.16449747800004,0 33.34934212400003,35.16466764600006,0 33.34941217200003,35.16474718200004,0 33.34946628300003,35.16483579700008,0 33.34954862200004,35.16492942900004,0 33.34974407500005,35.16519021000005,0 33.34986695700007,35.16532108700005,0</coordinates></LinearString></MultiGeometry>",899,1245,TLCHAIN,Σειρά ενωμένων λάκκων (λαγούμια),Chain of Wells
TLSW,"<MultiGeometry><LinearString><coordinates> 33.34637318000006,35.15526476600007,0 33.34637786700006,35.15524848000007,0</coordinates></LinearString></MultiGeometry>",900,1258,TLSW,Δόμη / Τοίχος αντιστήριξης,Sunk Wall / Retaining Wall
TLFNWL,"<MultiGeometry><LinearString><coordinates> 33.34691953500004,35.15523943900007,0 33.34692287500008,35.15529389800003,0</coordinates></LinearString></MultiGeometry>",901,1207,TLFNWL,"Περιτοίχισμα ή περίφραξη (χρησιμοποιείται μόνο 

σε  περιπτώσεις ψηφιοποίησης)",Fence or Wall
TLFNWL,"<MultiGeometry><LinearString><coordinates> 33.34634886600003,35.15524066500007,0 33.34595770300007,35.15533755000007,0</coordinates></LinearString></MultiGeometry>",902,1207,TLFNWL,"Περιτοίχισμα ή περίφραξη (χρησιμοποιείται μόνο 

σε  περιπτώσεις ψηφιοποίησης)",Fence or Wall
TLFNWL,"<MultiGeometry><LinearString><coordinates> 33.34635184800004,35.15523992500005,0 33.34634886600003,35.15524066500007,0</coordinates></LinearString></MultiGeometry>",903,1207,TLFNWL,"Περιτοίχισμα ή περίφραξη (χρησιμοποιείται μόνο 

σε  περιπτώσεις ψηφιοποίησης)",Fence or Wall
TLSW,"<MultiGeometry><LinearString><coordinates> 33.34673860400005,35.15608818300007,0 33.34669864300003,35.15605997300003,0 33.34663267900004,35.15598284100003,0 33.34659288600005,35.15590664300004,0 33.34656039800007,35.15582472200003,0 33.34654955600007,35.15579661000004,0 33.34654020400006,35.15574025400008,0 33.34653287200007,35.15562903800003,0 33.34653141900003,35.15551534200006,0 33.34653166400005,35.15550082200008,0 33.34651770000005,35.15543444300005,0 33.34653381500004,35.15523896000008,0</coordinates></LinearString></MultiGeometry>",904,1258,TLSW,Δόμη / Τοίχος αντιστήριξης,Sunk Wall / Retaining Wall
TLOTHER,"<MultiGeometry><LinearString><coordinates> 33.34653381500004,35.15523896000008,0 33.34637318000006,35.15526476600007,0</coordinates></LinearString></MultiGeometry>",905,1432,TLOTHER,Άλλη τοπογραφική γραμμή,Other Topo Line
TLRDHS,"<MultiGeometry><LinearString><coordinates> 33.34692287500008,35.15529389800003,0 33.34698055200005,35.15523625400004,0</coordinates></LinearString></MultiGeometry>",906,1200,TLRDHS,Ασφαλτοστρωμένος δρόμος (που δεν είναι εγγεγραμμένος),Road Hard Surface
TLFNWL,"<MultiGeometry><LinearString><coordinates> 33.34698055200005,35.15523625400004,0 33.34691953500004,35.15523943900007,0</coordinates></LinearString></MultiGeometry>",907,1207,TLFNWL,"Περιτοίχισμα ή περίφραξη (χρησιμοποιείται μόνο 

σε  περιπτώσεις ψηφιοποίησης)",Fence or Wall
TLRDHS,"<MultiGeometry><LinearString><coordinates> 33.34708023700006,35.15528207100005,0 33.34702696400007,35.15523383100003,0</coordinates></LinearString></MultiGeometry>",908,1200,TLRDHS,Ασφαλτοστρωμένος δρόμος (που δεν είναι εγγεγραμμένος),Road Hard Surface
TLFNWL,"<MultiGeometry><LinearString><coordinates> 33.34702696400007,35.15523383100003,0 33.34698055200005,35.15523625400004,0</coordinates></LinearString></MultiGeometry>",909,1207,TLFNWL,"Περιτοίχισμα ή περίφραξη (χρησιμοποιείται μόνο 

σε  περιπτώσεις ψηφιοποίησης)",Fence or Wall
TLRDHS,"<MultiGeometry><LinearString><coordinates> 33.34708023700006,35.15528207100005,0 33.34707585900003,35.15523127800003,0</coordinates></LinearString></MultiGeometry>",910,1200,TLRDHS,Ασφαλτοστρωμένος δρόμος (που δεν είναι εγγεγραμμένος),Road Hard Surface
TLFNWL,"<MultiGeometry><LinearString><coordinates> 33.34707585900003,35.15523127800003,0 33.34702696400007,35.15523383100003,0</coordinates></LinearString></MultiGeometry>",911,1207,TLFNWL,"Περιτοίχισμα ή περίφραξη (χρησιμοποιείται μόνο 

σε  περιπτώσεις ψηφιοποίησης)",Fence or Wall
TLOTHER,"<MultiGeometry><LinearString><coordinates> 33.34658182500004,35.15523124600003,0 33.34653381500004,35.15523896000008,0</coordinates></LinearString></MultiGeometry>",912,1432,TLOTHER,Άλλη τοπογραφική γραμμή,Other Topo Line
TLPENCIL,"<MultiGeometry><LinearString><coordinates> 33.35003394500006,35.15521353800006,0 33.35025474200006,35.15536899900008,0</coordinates></LinearString></MultiGeometry>",913,1422,TLPENCIL,Γραμμή (μολύβι) μη  προτεινόμενο  σύνορο,Pencil Lines-Not Proposed Boundaries
TLFNWL,"<MultiGeometry><LinearString><coordinates> 33.35003826400003,35.15529509200007,0 33.35003394500006,35.15521353800006,0</coordinates></LinearString></MultiGeometry>",914,1207,TLFNWL,"Περιτοίχισμα ή περίφραξη (χρησιμοποιείται μόνο 

σε  περιπτώσεις ψηφιοποίησης)",Fence or Wall
TLSW,"<MultiGeometry><LinearString><coordinates> 33.34653381500004,35.15523896000008,0 33.34653510300007,35.15522333600006,0</coordinates></LinearString></MultiGeometry>",915,1258,TLSW,Δόμη / Τοίχος αντιστήριξης,Sunk Wall / Retaining Wall
TLOTHER,"<MultiGeometry><LinearString><coordinates> 33.34637786700006,35.15524848000007,0 33.34653510300007,35.15522333600006,0</coordinates></LinearString></MultiGeometry>",916,1432,TLOTHER,Άλλη τοπογραφική γραμμή,Other Topo Line
TLSW,"<MultiGeometry><LinearString><coordinates> 33.34663509200004,35.15574931300006,0 33.34665092200004,35.15563663200004,0 33.34660859500008,35.15549877800004,0 33.34662221900004,35.15537242000005,0 33.34664639300007,35.15525724100007,0 33.34665720500004,35.15521913600003,0</coordinates></LinearString></MultiGeometry>",917,1258,TLSW,Δόμη / Τοίχος αντιστήριξης,Sunk Wall / Retaining Wall
TLOTHER,"<MultiGeometry><LinearString><coordinates> 33.34665720500004,35.15521913600003,0 33.34658182500004,35.15523124600003,0</coordinates></LinearString></MultiGeometry>",918,1432,TLOTHER,Άλλη τοπογραφική γραμμή,Other Topo Line
TLRDHS,"<MultiGeometry><LinearString><coordinates> 33.34745929800005,35.15521642900006,0 33.34746884500004,35.15531031300003,0</coordinates></LinearString></MultiGeometry>",919,1200,TLRDHS,Ασφαλτοστρωμένος δρόμος (που δεν είναι εγγεγραμμένος),Road Hard Surface
TLSW,"<MultiGeometry><LinearString><coordinates> 33.34658182500004,35.15523124600003,0 33.34658430900004,35.15521546700006,0</coordinates></LinearString></MultiGeometry>",920,1258,TLSW,Δόμη / Τοίχος αντιστήριξης,Sunk Wall / Retaining Wall
TLOTHER,"<MultiGeometry><LinearString><coordinates> 33.34653510300007,35.15522333600006,0 33.34658430900004,35.15521546700006,0</coordinates></LinearString></MultiGeometry>",921,1432,TLOTHER,Άλλη τοπογραφική γραμμή,Other Topo Line
TLRDHS,"<MultiGeometry><LinearString><coordinates> 33.34745929800005,35.15521642900006,0 33.34745821900003,35.15521119700003,0 33.34746461400005,35.15520991500006,0</coordinates></LinearString></MultiGeometry>",922,1200,TLRDHS,Ασφαλτοστρωμένος δρόμος (που δεν είναι εγγεγραμμένος),Road Hard Surface
TLFNWL,"<MultiGeometry><LinearString><coordinates> 33.34691791200004,35.15520814800004,0 33.34691953500004,35.15523943900007,0</coordinates></LinearString></MultiGeometry>",923,1207,TLFNWL,"Περιτοίχισμα ή περίφραξη (χρησιμοποιείται μόνο 

σε  περιπτώσεις ψηφιοποίησης)",Fence or Wall
TLFNWL,"<MultiGeometry><LinearString><coordinates> 33.34757594400003,35.15520370000007,0 33.34746461400005,35.15520991500006,0</coordinates></LinearString></MultiGeometry>",924,1207,TLFNWL,"Περιτοίχισμα ή περίφραξη (χρησιμοποιείται μόνο 

σε  περιπτώσεις ψηφιοποίησης)",Fence or Wall
TLPENCIL,"<MultiGeometry><LinearString><coordinates> 33.35000601100006,35.15519386900007,0 33.35003394500006,35.15521353800006,0</coordinates></LinearString></MultiGeometry>",925,1422,TLPENCIL,Γραμμή (μολύβι) μη  προτεινόμενο  σύνορο,Pencil Lines-Not Proposed Boundaries
TLSW,"<MultiGeometry><LinearString><coordinates> 33.34665720500004,35.15521913600003,0 33.34666176100006,35.15520308200007,0</coordinates></LinearString></MultiGeometry>",926,1258,TLSW,Δόμη / Τοίχος αντιστήριξης,Sunk Wall / Retaining Wall
TLOTHER,"<MultiGeometry><LinearString><coordinates> 33.34658430900004,35.15521546700006,0 33.34666176100006,35.15520308200007,0</coordinates></LinearString></MultiGeometry>",927,1432,TLOTHER,Άλλη τοπογραφική γραμμή,Other Topo Line
TLOTHER,"<MultiGeometry><LinearString><coordinates> 33.34676015600007,35.15520259600004,0 33.34665720500004,35.15521913600003,0</coordinates></LinearString></MultiGeometry>",928,1432,TLOTHER,Άλλη τοπογραφική γραμμή,Other Topo Line
TLFNWL,"<MultiGeometry><LinearString><coordinates> 33.35003394500006,35.15521353800006,0 33.35003323000007,35.15520004600006,0 33.35001626400003,35.15518460100003,0</coordinates></LinearString></MultiGeometry>",929,1207,TLFNWL,"Περιτοίχισμα ή περίφραξη (χρησιμοποιείται μόνο 

σε  περιπτώσεις ψηφιοποίησης)",Fence or Wall
TLOTHER,"<MultiGeometry><LinearString><coordinates> 33.34666176100006,35.15520308200007,0 33.34676498400006,35.15518657500007,0</coordinates></LinearString></MultiGeometry>",930,1432,TLOTHER,Άλλη τοπογραφική γραμμή,Other Topo Line
TLFNWL,"<MultiGeometry><LinearString><coordinates> 33.34782941700007,35.15528856500004,0 33.34781617100003,35.15518139900007,0</coordinates></LinearString></MultiGeometry>",931,1207,TLFNWL,"Περιτοίχισμα ή περίφραξη (χρησιμοποιείται μόνο 

σε  περιπτώσεις ψηφιοποίησης)",Fence or Wall
TLFNWL,"<MultiGeometry><LinearString><coordinates> 33.34781617100003,35.15518139900007,0 33.34764519600003,35.15520266500005,0 33.34765973500004,35.15529932200008,0 33.34782941700007,35.15528856500004,0</coordinates></LinearString></MultiGeometry>",932,1207,TLFNWL,"Περιτοίχισμα ή περίφραξη (χρησιμοποιείται μόνο 

σε  περιπτώσεις ψηφιοποίησης)",Fence or Wall
TLOTHER,"<MultiGeometry><LinearString><coordinates> 33.34676498400006,35.15518657500007,0 33.34678836700005,35.15518283500006,0 33.34679064900007,35.15519769800005,0 33.34676015600007,35.15520259600004,0</coordinates></LinearString></MultiGeometry>",933,1432,TLOTHER,Άλλη τοπογραφική γραμμή,Other Topo Line
TLFNWL,"<MultiGeometry><LinearString><coordinates> 33.34964786700004,35.15510104600003,0 33.34966227500007,35.15513468400008,0</coordinates></LinearString></MultiGeometry>",934,1207,TLFNWL,"Περιτοίχισμα ή περίφραξη (χρησιμοποιείται μόνο 

σε  περιπτώσεις ψηφιοποίησης)",Fence or Wall
TLFNWL,"<MultiGeometry><LinearString><coordinates> 33.34715949800005,35.15508982800003,0 33.34716088000005,35.15508986800006,0 33.34717188600007,35.15509821500007,0 33.34717542500005,35.15510301500007,0 33.34717416200004,35.15511553300007,0 33.34716883300007,35.15512123900004,0 33.34715954100005,35.15512618300005,0 33.34715265900007,35.15512787200004,0 33.34715406300006,35.15515165400007,0 33.34716446900006,35.15515395900007,0 33.34717194800004,35.15515831200003,0 33.34717798500003,35.15516469800008,0 33.34718007200007,35.15517112800006,0 33.34717826600007,35.15518082800003,0 33.34717491800006,35.15518691600005,0 33.34716808500008,35.15519142900007,0 33.34716023100003,35.15519393600005,0 33.34708970800006,35.15519754300004,0 33.34708516100005,35.15515130700004,0</coordinates></LinearString></MultiGeometry>",935,1207,TLFNWL,"Περιτοίχισμα ή περίφραξη (χρησιμοποιείται μόνο 

σε  περιπτώσεις ψηφιοποίησης)",Fence or Wall
TLFNWL,"<MultiGeometry><LinearString><coordinates> 33.34708516100005,35.15515130700004,0 33.34715949800005,35.15508982800003,0</coordinates></LinearString></MultiGeometry>",936,1207,TLFNWL,"Περιτοίχισμα ή περίφραξη (χρησιμοποιείται μόνο 

σε  περιπτώσεις ψηφιοποίησης)",Fence or Wall
TLFNWL,"<MultiGeometry><LinearString><coordinates> 33.34714063100006,35.15508928600008,0 33.34715949800005,35.15508982800003,0</coordinates></LinearString></MultiGeometry>",937,1207,TLFNWL,"Περιτοίχισμα ή περίφραξη (χρησιμοποιείται μόνο 

σε  περιπτώσεις ψηφιοποίησης)",Fence or Wall
TLFNWL,"<MultiGeometry><LinearString><coordinates> 33.34967021700004,35.15515021200002,0 33.34982058100007,35.15507408100007,0</coordinates></LinearString></MultiGeometry>",938,1207,TLFNWL,"Περιτοίχισμα ή περίφραξη (χρησιμοποιείται μόνο 

σε  περιπτώσεις ψηφιοποίησης)",Fence or Wall
TLFNWL,"<MultiGeometry><LinearString><coordinates> 33.34741494600007,35.15508025100007,0 33.34745747100004,35.15510878000004,0</coordinates></LinearString></MultiGeometry>",939,1207,TLFNWL,"Περιτοίχισμα ή περίφραξη (χρησιμοποιείται μόνο 

σε  περιπτώσεις ψηφιοποίησης)",Fence or Wall
TLFNWL,"<MultiGeometry><LinearString><coordinates> 33.34745874700008,35.15512684800007,0 33.34738572900005,35.15507526200003,0 33.34737399500006,35.15508184500004,0 33.34737454600003,35.15508506500004,0 33.34737620400006,35.15509513200004,0 33.34738276800005,35.15510352900003,0 33.34739128000007,35.15511029100003,0 33.34739972700004,35.15511342400004,0 33.34740209800003,35.15513598600006,0 33.34739276900007,35.15513891300003,0 33.34738690200004,35.15514220500006,0 33.34737963200007,35.15514995100006,0 33.34737779200003,35.15515763500008,0 33.34737886500005,35.15516246400006,0 33.34738095200004,35.15516889400004,0 33.34738648900003,35.15517488300003,0 33.34739447100003,35.15517963600007,0 33.34740487100004,35.15518153600004,0 33.34746238300005,35.15517832500007,0</coordinates></LinearString></MultiGeometry>",940,1207,TLFNWL,"Περιτοίχισμα ή περίφραξη (χρησιμοποιείται μόνο 

σε  περιπτώσεις ψηφιοποίησης)",Fence or Wall
TLRDHS,"<MultiGeometry><LinearString><coordinates> 33.34690592700008,35.15609100600005,0 33.34683329400008,35.15608479700006,0 33.34679567500007,35.15607874800003,0 33.34677191000003,35.15607456600003,0 33.34676498800008,35.15607383300005,0 33.34675467300008,35.15607676800005,0 33.34674538900003,35.15608211300003,0 33.34673860400005,35.15608818300007,0</coordinates></LinearString></MultiGeometry>",941,1200,TLRDHS,Ασφαλτοστρωμένος δρόμος (που δεν είναι εγγεγραμμένος),Road Hard Surface
TLRDHS,"<MultiGeometry><LinearString><coordinates> 33.34904579800008,35.15627408900008,0 33.34894800400008,35.15618947900003,0 33.34885877500005,35.15610945500004,0 33.34874691600004,35.15598727300005,0 33.34868949500003,35.15591896500007,0 33.34867462600005,35.15590977400007,0</coordinates></LinearString></MultiGeometry>",942,1200,TLRDHS,Ασφαλτοστρωμένος δρόμος (που δεν είναι εγγεγραμμένος),Road Hard Surface
TLRDHS,"<MultiGeometry><LinearString><coordinates> 33.34928526800007,35.15615307000007,0 33.34929511200005,35.15606208200006,0 33.34931652700004,35.15593935100003,0 33.34932388800007,35.15584762300006,0</coordinates></LinearString></MultiGeometry>",943,1200,TLRDHS,Ασφαλτοστρωμένος δρόμος (που δεν είναι εγγεγραμμένος),Road Hard Surface
TLRDHS,"<MultiGeometry><LinearString><coordinates> 33.34824122300006,35.15588595900005,0 33.34845788300004,35.15578838400006,0 33.34847272200005,35.15578943500003,0 33.34848217900003,35.15579336900004,0 33.34849311800008,35.15579728700004,0 33.34850161400004,35.15580284500004,0 33.34867462600005,35.15590977400007,0</coordinates></LinearString></MultiGeometry>",944,1200,TLRDHS,Ασφαλτοστρωμένος δρόμος (που δεν είναι εγγεγραμμένος),Road Hard Surface
TLRDHS,"<MultiGeometry><LinearString><coordinates> 33.34850840200005,35.15576725600005,0 33.34852262800007,35.15578970500008,0 33.34852916300002,35.15579609100007,0 33.34867461800008,35.15589332600007,0</coordinates></LinearString></MultiGeometry>",945,1200,TLRDHS,Ασφαλτοστρωμένος δρόμος (που δεν είναι εγγεγραμμένος),Road Hard Surface
TLRDHS,"<MultiGeometry><LinearString><coordinates> 33.34915013500006,35.15632638600005,0 33.34917617700006,35.15634574100005,0 33.34918249900005,35.15630485100007,0 33.34918509500005,35.15624308000002,0 33.34919914800003,35.15615964900007,0 33.34923302500005,35.15600273100006,0 33.34924057000006,35.15594204900003,0 33.34923489100004,35.15588210000004,0 33.34921931000002,35.15583288500005,0 33.34918412700006,35.15579746400005,0 33.34911107600004,35.15575976100007,0</coordinates></LinearString></MultiGeometry>",946,1200,TLRDHS,Ασφαλτοστρωμένος δρόμος (που δεν είναι εγγεγραμμένος),Road Hard Surface
TLRDHS,"<MultiGeometry><LinearString><coordinates> 33.34867454700003,35.15571752300008,0 33.34861150600005,35.15572982200007,0 33.34855400400005,35.15574739300007,0 33.34850840200005,35.15576725600005,0</coordinates></LinearString></MultiGeometry>",947,1200,TLRDHS,Ασφαλτοστρωμένος δρόμος (που δεν είναι εγγεγραμμένος),Road Hard Surface
TLRDHS,"<MultiGeometry><LinearString><coordinates> 33.34822526500005,35.15582075300006,0 33.34859079500006,35.15567556100007,0 33.34866143800008,35.15565600500003,0 33.34867452100008,35.15565503200003,0</coordinates></LinearString></MultiGeometry>",948,1200,TLRDHS,Ασφαλτοστρωμένος δρόμος (που δεν είναι εγγεγραμμένος),Road Hard Surface
TLRDHS,"<MultiGeometry><LinearString><coordinates> 33.34825071300003,35.15562405200006,0 33.34824127300004,35.15563373900005,0 33.34819182400003,35.15568754000003,0</coordinates></LinearString></MultiGeometry>",949,1200,TLRDHS,Ασφαλτοστρωμένος δρόμος (που δεν είναι εγγεγραμμένος),Road Hard Surface
TLRDHS,"<MultiGeometry><LinearString><coordinates> 33.34825071300003,35.15562405200006,0 33.34820279100006,35.15558990600005,0</coordinates></LinearString></MultiGeometry>",950,1200,TLRDHS,Ασφαλτοστρωμένος δρόμος (που δεν είναι εγγεγραμμένος),Road Hard Surface
TLRDHS,"<MultiGeometry><LinearString><coordinates> 33.34634886600003,35.15524066500007,0 33.34633961300006,35.15529980100007,0 33.34632048500004,35.15542058200003,0 33.34630318500007,35.15559014100006,0 33.34630790000006,35.15566308400003,0 33.34630899200005,35.15569775300003,0 33.34630722200006,35.15573810200004,0 33.34637669300003,35.15596077900005,0 33.34642720800008,35.15605703300003,0 33.34649274200007,35.15613699700003,0 33.34662562600005,35.15625859600004,0 33.34669604900006,35.15630665100008,0 33.34673032000006,35.15632609400007,0</coordinates></LinearString></MultiGeometry>",951,1200,TLRDHS,Ασφαλτοστρωμένος δρόμος (που δεν είναι εγγεγραμμένος),Road Hard Surface
TLRDHS,"<MultiGeometry><LinearString><coordinates> 33.34690592700008,35.15609100600005,0 33.34687421400002,35.15608229900005,0 33.34680603400005,35.15604914600004,0 33.34676001200006,35.15601293600003,0 33.34668918800003,35.15594029200003,0 33.34665508300003,35.15587935800005,0 33.34661769800005,35.15577087500003,0 33.34659419200006,35.15563724600003,0 33.34659216300003,35.15557637800004,0 33.34657652000004,35.15546969000008,0 33.34657531500005,35.15537051100006,0 33.34658514800003,35.15528210100007,0 33.34658092200004,35.15523699000005,0 33.34658182500004,35.15523124600003,0</coordinates></LinearString></MultiGeometry>",952,1200,TLRDHS,Ασφαλτοστρωμένος δρόμος (που δεν είναι εγγεγραμμένος),Road Hard Surface
TLRDHS,"<MultiGeometry><LinearString><coordinates> 33.34867434000006,35.15520997200008,0 33.34865722600006,35.15521259500008,0 33.34854466500008,35.15523422600006,0 33.34842448700005,35.15533845800007,0 33.34838965400007,35.15540784400002,0 33.34837149100008,35.15544234500004,0 33.34829688600007,35.15555333000003,0 33.34825071300003,35.15562405200006,0</coordinates></LinearString></MultiGeometry>",953,1200,TLRDHS,Ασφαλτοστρωμένος δρόμος (που δεν είναι εγγεγραμμένος),Road Hard Surface
TLRDHS,"<MultiGeometry><LinearString><coordinates> 33.34745720800004,35.15551417200004,0 33.34743043200007,35.15519302100006,0 33.34714001600003,35.15520990900006,0 33.34716135700006,35.15553190000003,0 33.34745720800004,35.15551417200004,0</coordinates></LinearString></MultiGeometry>",954,1200,TLRDHS,Ασφαλτοστρωμένος δρόμος (που δεν είναι εγγεγραμμένος),Road Hard Surface
TLRDHS,"<MultiGeometry><LinearString><coordinates> 33.34925580700008,35.15511658000003,0 33.34920272400007,35.15504854400007,0 33.34903342500007,35.15511364900004,0 33.34890630000007,35.15515189800004,0 33.34879551900008,35.15519417500008,0 33.34869345500005,35.15520704100004,0 33.34867434000006,35.15520997200008,0</coordinates></LinearString></MultiGeometry>",955,1200,TLRDHS,Ασφαλτοστρωμένος δρόμος (που δεν είναι εγγεγραμμένος),Road Hard Surface
TLRDHS,"<MultiGeometry><LinearString><coordinates> 33.34781617100003,35.15518139900007,0 33.34779606600006,35.15502106600007,0 33.34747592800005,35.15503956500004,0</coordinates></LinearString></MultiGeometry>",956,1200,TLRDHS,Ασφαλτοστρωμένος δρόμος (που δεν είναι εγγεγραμμένος),Road Hard Surface
TLRDHS,"<MultiGeometry><LinearString><coordinates> 33.34867424700008,35.15498663800003,0 33.34859444000006,35.15503232100008,0 33.34851342700006,35.15511634500007,0 33.34849660400005,35.15514276100004,0 33.34848319600008,35.15516671600005,0 33.34844392300005,35.15529224100004,0 33.34854146500004,35.15522094600004,0 33.34867170300004,35.15519294900003,0 33.34867433200003,35.15519272800003,0</coordinates></LinearString></MultiGeometry>",957,1200,TLRDHS,Ασφαλτοστρωμένος δρόμος (που δεν είναι εγγεγραμμένος),Road Hard Surface
TLRDHS,"<MultiGeometry><LinearString><coordinates> 33.34818733000003,35.15559088300006,0 33.34822373300005,35.15555090800007,0 33.34825419200007,35.15551344900007,0 33.34827346100008,35.15548579700004,0 33.34830448700006,35.15542452300008,0 33.34832639100006,35.15537828000004,0 33.34835540500006,35.15531501200007,0 33.34837059600005,35.15528014200004,0 33.34839618900003,35.15519108600006,0 33.34841553900003,35.15514003100003,0 33.34843082200007,35.15511040700005,0 33.34846284800005,35.15507777000005,0 33.34848125200006,35.15505698700008,0 33.34849864600005,35.15503500500006,0 33.34851750900003,35.15501219800007,0 33.34854967100006,35.15498722600006,0 33.34860047400008,35.15495478200006,0 33.34864449300005,35.15492967500006,0 33.34867421900003,35.15491402100003,0</coordinates></LinearString></MultiGeometry>",958,1200,TLRDHS,Ασφαλτοστρωμένος δρόμος (που δεν είναι εγγεγραμμένος),Road Hard Surface
