Name,coordinates,FEATUREID,ΚΩΔΙΚΟΣ ΓΡΑΜΜΗΣ,DXF_LAYER,DESCRIPTION_GR,DESCRIPTION_EN
TLFNWL,"<MultiGeometry><LinearString><coordinates> 33.35728115500007,35.15909145200004,0 33.35729670000006,35.15908147800008,0 33.35731638600004,35.15903735500007,0 33.35731291000008,35.15903003500006,0</coordinates></LinearString></MultiGeometry>",31,1207,TLFNWL,"Περιτοίχισμα ή περίφραξη (χρησιμοποιείται μόνο 

σε  περιπτώσεις ψηφιοποίησης)",Fence or Wall
TLFNWL,"<MultiGeometry><LinearString><coordinates> 33.35706996300007,35.15905315000003,0 33.35709356800004,35.15903385400003,0 33.35703775900004,35.15898926000006,0 33.35695278700007,35.15906259900004,0 33.35700808000007,35.15910799000005,0 33.35702319600006,35.15909377000003,0</coordinates></LinearString></MultiGeometry>",32,1207,TLFNWL,"Περιτοίχισμα ή περίφραξη (χρησιμοποιείται μόνο 

σε  περιπτώσεις ψηφιοποίησης)",Fence or Wall
TLPENCIL,"<MultiGeometry><LinearString><coordinates> 33.35777258200005,35.15862513900004,0 33.35778690600006,35.15871387800007,0</coordinates></LinearString></MultiGeometry>",33,1422,TLPENCIL,Γραμμή (μολύβι) μη  προτεινόμενο  σύνορο,Pencil Lines-Not Proposed Boundaries
TLPENCIL,"<MultiGeometry><LinearString><coordinates> 33.35777370700004,35.15851275400007,0 33.35779129100007,35.15862547500007,0 33.35777258200005,35.15862513900004,0</coordinates></LinearString></MultiGeometry>",34,1422,TLPENCIL,Γραμμή (μολύβι) μη  προτεινόμενο  σύνορο,Pencil Lines-Not Proposed Boundaries
TLPENCIL,"<MultiGeometry><LinearString><coordinates> 33.35776886700006,35.15847942600004,0 33.35777370700004,35.15851275400007,0</coordinates></LinearString></MultiGeometry>",35,1422,TLPENCIL,Γραμμή (μολύβι) μη  προτεινόμενο  σύνορο,Pencil Lines-Not Proposed Boundaries
TLPENCIL,"<MultiGeometry><LinearString><coordinates> 33.35776886700006,35.15847942600004,0 33.35777932800005,35.15845035200005,0</coordinates></LinearString></MultiGeometry>",36,1422,TLPENCIL,Γραμμή (μολύβι) μη  προτεινόμενο  σύνορο,Pencil Lines-Not Proposed Boundaries
TLPENCIL,"<MultiGeometry><LinearString><coordinates> 33.35775921000004,35.15750596000004,0 33.35775988100005,35.15751043500006,0 33.35776191200006,35.15751606300006,0 33.35776482400007,35.15766191200004,0</coordinates></LinearString></MultiGeometry>",37,1422,TLPENCIL,Γραμμή (μολύβι) μη  προτεινόμενο  σύνορο,Pencil Lines-Not Proposed Boundaries
TLFNWL,"<MultiGeometry><LinearString><coordinates> 33.35727151200007,35.15738637400006,0 33.35707055300003,35.15729407800006,0</coordinates></LinearString></MultiGeometry>",38,1207,TLFNWL,"Περιτοίχισμα ή περίφραξη (χρησιμοποιείται μόνο 

σε  περιπτώσεις ψηφιοποίησης)",Fence or Wall
TLPENCIL,"<MultiGeometry><LinearString><coordinates> 33.35768660700006,35.15709676500006,0 33.35769615700008,35.15714529300004,0 33.35770553900005,35.15723269900008,0 33.35774309500005,35.15750156800004,0</coordinates></LinearString></MultiGeometry>",39,1422,TLPENCIL,Γραμμή (μολύβι) μη  προτεινόμενο  σύνορο,Pencil Lines-Not Proposed Boundaries
RGBDPROP,"<MultiGeometry><LinearString><coordinates> 33.35766621500005,35.15689013500003,0 33.35767125200005,35.15692008100007,0 33.35767100100003,35.15694063900003,0 33.35766570500005,35.15694954000003,0 33.35765887900004,35.15695361300004,0 33.35762088500007,35.15698030700003,0</coordinates></LinearString></MultiGeometry>",40,1255,RGBDPROP,Προτεινόμενο σύνορο (μολύβι),Proposed Boundaries (Pencil)
RGBDPROP,"<MultiGeometry><LinearString><coordinates> 33.35766621500005,35.15689013500003,0 33.35766736200003,35.15692332900005,0 33.35766265500007,35.15694069100005,0 33.35765345600004,35.15695163100003,0 33.35764277800007,35.15696217900006,0 33.35762816600004,35.15697194400008,0 33.35761034500007,35.15698187700008,0</coordinates></LinearString></MultiGeometry>",41,1255,RGBDPROP,Προτεινόμενο σύνορο (μολύβι),Proposed Boundaries (Pencil)
RGBDPROP,"<MultiGeometry><LinearString><coordinates> 33.35765453000005,35.15658077300003,0 33.35765067600005,35.15662917300006,0 33.35764925900003,35.15667594400003,0 33.35764937300007,35.15672794500006,0 33.35765351100002,35.15678798100004,0 33.35766123000008,35.15686048900005,0 33.35766621500005,35.15689013500003,0</coordinates></LinearString></MultiGeometry>",42,1255,RGBDPROP,Προτεινόμενο σύνορο (μολύβι),Proposed Boundaries (Pencil)
RGBDPROP,"<MultiGeometry><LinearString><coordinates> 33.35768115100007,35.15657956700005,0 33.35766375400004,35.15669802500003,0 33.35766069200002,35.15673029200008,0 33.35766621500005,35.15689013500003,0</coordinates></LinearString></MultiGeometry>",43,1255,RGBDPROP,Προτεινόμενο σύνορο (μολύβι),Proposed Boundaries (Pencil)
RGBDPROP,"<MultiGeometry><LinearString><coordinates> 33.35768493700005,35.15655378500003,0 33.35768115100007,35.15657956700005,0</coordinates></LinearString></MultiGeometry>",44,1255,RGBDPROP,Προτεινόμενο σύνορο (μολύβι),Proposed Boundaries (Pencil)
TLPENCIL,"<MultiGeometry><LinearString><coordinates> 33.35772864700004,35.15635500900004,0 33.35771784700006,35.15639295400007,0 33.35769606200006,35.15647803800005,0 33.35768493700005,35.15655378500003,0</coordinates></LinearString></MultiGeometry>",45,1422,TLPENCIL,Γραμμή (μολύβι) μη  προτεινόμενο  σύνορο,Pencil Lines-Not Proposed Boundaries
TLFNWL,"<MultiGeometry><LinearString><coordinates> 33.35770362300008,35.15635552300006,0 33.35772864700004,35.15635500900004,0</coordinates></LinearString></MultiGeometry>",46,1207,TLFNWL,"Περιτοίχισμα ή περίφραξη (χρησιμοποιείται μόνο 

σε  περιπτώσεις ψηφιοποίησης)",Fence or Wall
TLFNWL,"<MultiGeometry><LinearString><coordinates> 33.35772864700004,35.15635500900004,0 33.35777269700003,35.15623477900004,0</coordinates></LinearString></MultiGeometry>",47,1207,TLFNWL,"Περιτοίχισμα ή περίφραξη (χρησιμοποιείται μόνο 

σε  περιπτώσεις ψηφιοποίησης)",Fence or Wall
TLPENCIL,"<MultiGeometry><LinearString><coordinates> 33.35777619500004,35.15616254200006,0 33.35781032100005,35.15610505700005,0</coordinates></LinearString></MultiGeometry>",48,1422,TLPENCIL,Γραμμή (μολύβι) μη  προτεινόμενο  σύνορο,Pencil Lines-Not Proposed Boundaries
TLPENCIL,"<MultiGeometry><LinearString><coordinates> 33.35782083000004,35.15606729900003,0 33.35782590300005,35.15608593400003,0 33.35777269700003,35.15623477900004,0</coordinates></LinearString></MultiGeometry>",49,1422,TLPENCIL,Γραμμή (μολύβι) μη  προτεινόμενο  σύνορο,Pencil Lines-Not Proposed Boundaries
TLPENCIL,"<MultiGeometry><LinearString><coordinates> 33.35782083000004,35.15606729900003,0 33.35782014500006,35.15607941600007,0 33.35781648200003,35.15609104500004,0 33.35781032100005,35.15610505700005,0</coordinates></LinearString></MultiGeometry>",50,1422,TLPENCIL,Γραμμή (μολύβι) μη  προτεινόμενο  σύνορο,Pencil Lines-Not Proposed Boundaries
TLPENCIL,"<MultiGeometry><LinearString><coordinates> 33.35779866500008,35.15598586500005,0 33.35781622700006,35.15605038800004,0 33.35782053300005,35.15606620600005,0 33.35782083000004,35.15606729900003,0</coordinates></LinearString></MultiGeometry>",51,1422,TLPENCIL,Γραμμή (μολύβι) μη  προτεινόμενο  σύνορο,Pencil Lines-Not Proposed Boundaries
TLFNWL,"<MultiGeometry><LinearString><coordinates> 33.35676652800004,35.15932319400002,0 33.35687062800002,35.15928730200005,0 33.35683681300003,35.15922438800004,0</coordinates></LinearString></MultiGeometry>",52,1207,TLFNWL,"Περιτοίχισμα ή περίφραξη (χρησιμοποιείται μόνο 

σε  περιπτώσεις ψηφιοποίησης)",Fence or Wall
TLCLFNOB,"<MultiGeometry><LinearString><coordinates> 33.35683681300003,35.15922438800004,0 33.35701104000003,35.15916606600007,0</coordinates></LinearString></MultiGeometry>",53,1412,TLCLFNOB,Κορυφή γκρεμμού που δεν είναι σύνορο,Top of Cliff (No Boundary)
TLFNWL,"<MultiGeometry><LinearString><coordinates> 33.35697708600003,35.15749809000005,0 33.35707476300007,35.15751069200007,0 33.35710403400003,35.15751371400006,0 33.35713700100007,35.15751067000008,0</coordinates></LinearString></MultiGeometry>",54,1207,TLFNWL,"Περιτοίχισμα ή περίφραξη (χρησιμοποιείται μόνο 

σε  περιπτώσεις ψηφιοποίησης)",Fence or Wall
