Name,coordinates,FEATUREID,SBPI_ID_NO,ΚΩΔΙΚΟΣ ΕΠΑΡΧΙΑΣ,ΚΩΔΙΚΟΣ ΔΗΜΟΥ_ΚΟΙΝΟΤΗΤΑΣ,ΚΩΔΙΚΟΣ ΕΝΟΡΙΑΣ,ΚΩΔΙΚΟΣ ΤΜΗΜΑΤΟΣ,ΦΥΛΛΟ,ΣΧΕΔΙΟ,ΑΡΙΘΜΟΣ ΤΕΜΑΧΙΟΥ,SRC_SL_CODE,ΠΗΓΗ,ΕΜΒΑΔΟ ΤΕΜΑΧΙΟΥ
540402," 33.35137797400006,35.15967376600003,0 33.35145779700008,35.15998247100004,0 33.35145372400007,35.15998226700003,0 33.35145510200005,35.15999309200004,0 33.35142711200007,35.15999541400004,0 33.35129845500006,35.16000109400005,0 33.35120089900005,35.15998518600003,0 33.35118783400003,35.15996131800006,0 33.35116027900006,35.15997002300003,0 33.35114492300005,35.15995684500007,0 33.35114336900006,35.15994755600008,0 33.35113683300006,35.15995083800004,0 33.35111035400007,35.15996389500003,0 33.35111254700007,35.15996685900007,0 33.35109898300004,35.15997431500006,0 33.35108427000006,35.15995997200002,0 33.35108730200005,35.15995831300006,0 33.35104364400007,35.15988505800004,0 33.35097935400006,35.15976049800003,0 33.35096874100003,35.15973705200003,0 33.35097337900004,35.15972808800007,0 33.35098356600003,35.15972424000006,0 33.35104400900008,35.15971411600003,0 33.35122238000002,35.15968694900005,0 33.35125971800005,35.15968233200005,0 33.35137797400006,35.15967376600003,0",1,376514,1,0,16,1,21,540402,930,2,DCDB,1172
540402," 33.35165365900008,35.15996652900003,0 33.35155283500006,35.15998127200004,0 33.35155202800007,35.15997545800008,0 33.35153961800006,35.15997731300007,0 33.35153946000003,35.15998352400004,0 33.35151560900005,35.15998683500004,0 33.35151464000006,35.15998049100006,0 33.35150416600004,35.15998194900004,0 33.35150497300003,35.15998802700005,0 33.35148142300005,35.15999048500004,0 33.35148022400006,35.15998547100003,0 33.35146792100005,35.15998719100003,0 33.35146788400004,35.15999203200005,0 33.35145510200005,35.15999309200004,0 33.35145372400007,35.15998226700003,0 33.35145779700008,35.15998247100004,0 33.35137797400006,35.15967376600003,0 33.35157231200003,35.15964633200008,0 33.35163391000003,35.15987420500005,0 33.35164125700004,35.15987666700005,0 33.35166285000003,35.15994334200008,0 33.35165350400007,35.15994530300003,0 33.35165589400003,35.15995419100005,0 33.35166178900005,35.15995382100005,0 33.35166272500004,35.15995987800005,0 33.35165321000005,35.15996128400008,0 33.35165365900008,35.15996652900003,0",2,374154,1,0,16,1,21,540402,275,2,DCDB,660
540402," 33.35040415500004,35.15993730500003,0 33.35041976900004,35.15995926600004,0 33.35041592000005,35.15996140200008,0 33.35038865800004,35.15997919500006,0 33.35036799900007,35.15995753300007,0 33.35037232400003,35.15995441000007,0 33.35040415500004,35.15993730500003,0",3,374120,1,0,16,1,21,540402,240,2,DCDB,10
540402," 33.35188875700004,35.15960555700008,0 33.35196103000004,35.15989457900002,0 33.35196395700007,35.15990628000003,0 33.35179823900006,35.15993714900003,0 33.35176183500005,35.15994620700008,0 33.35171517800006,35.15994754000008,0 33.35166594200007,35.15996539400004,0 33.35165365900008,35.15996652900003,0 33.35165321000005,35.15996128400008,0 33.35166272500004,35.15995987800005,0 33.35166178900005,35.15995382100005,0 33.35165589400003,35.15995419100005,0 33.35165350400007,35.15994530300003,0 33.35166285000003,35.15994334200008,0 33.35164125700004,35.15987666700005,0 33.35163391000003,35.15987420500005,0 33.35157231200003,35.15964633200008,0 33.35159929400004,35.15963353400008,0 33.35188488100005,35.15959005300005,0 33.35188875700004,35.15960555700008,0",4,374150,1,0,16,1,21,540402,271,2,DCDB,1037
540402," 33.35224800900005,35.15981601800007,0 33.35196103000004,35.15989457900002,0 33.35188875700004,35.15960555700008,0 33.35192657000005,35.15959594200007,0 33.35196544400003,35.15958528300007,0 33.35200976000004,35.15956941300004,0 33.35205063800004,35.15955352300006,0 33.35208560600006,35.15954001800003,0 33.35212255400006,35.15952450700007,0 33.35224800900005,35.15981601800007,0",5,374466,1,0,16,1,21,540402,662,2,DCDB,819
540402," 33.35266198800008,35.15967901800008,0 33.35265806800004,35.15966959100007,0 33.35290677000006,35.15952498300004,0 33.35299452500004,35.15955291700004,0 33.35299829800005,35.15956838500006,0 33.35304282700002,35.15975309100003,0 33.35277571700004,35.15986571100007,0 33.35274501600003,35.15987865600005,0 33.35272306100006,35.15982586600006,0 33.35266198800008,35.15967901800008,0",6,374141,1,0,16,1,21,540402,263,2,DCDB,807
540402," 33.34988446200003,35.15955921700004,0 33.35013463900003,35.15956482700005,0 33.35013245000005,35.15959302200002,0 33.35013317800008,35.15962405400006,0 33.35013443100007,35.15965106200008,0 33.35013810300006,35.15968211100005,0 33.35014180800005,35.15970873100008,0 33.35014747200006,35.15973616700006,0 33.35015653300007,35.15976805800005,0 33.35016642500005,35.15979794200007,0 33.34988300400005,35.15987481800005,0 33.34986137700003,35.15975638800006,0 33.34985429400007,35.15971759500008,0 33.34984981700006,35.15969308000007,0 33.34982513100005,35.15955788800005,0 33.34988446200003,35.15955921700004,0",7,375674,1,0,16,1,21,540402,848,2,DCDB,815
540402," 33.35084974700004,35.15967473300003,0 33.35087816500004,35.15973102400005,0 33.35085114400005,35.15974608900007,0 33.35066673500006,35.15982105800003,0 33.35057637700004,35.15962555800007,0 33.35079981900003,35.15953578200003,0 33.35084186300003,35.15961704700004,0 33.35086694000006,35.15967201500007,0 33.35084974700004,35.15967473300003,0",8,376210,1,0,16,1,21,540402,916,2,DCDB,521
540402," 33.35247064800007,35.15968523700008,0 33.35247291900004,35.15969272300004,0 33.35232881500008,35.15978221600005,0 33.35224800900005,35.15981601800007,0 33.35212255400006,35.15952450700007,0 33.35214675900005,35.15950609900006,0 33.35217542200007,35.15948247400007,0 33.35220509500005,35.15945522400006,0 33.35224271600004,35.15941632900007,0 33.35227256800005,35.15936569100006,0 33.35229996500004,35.15931504000002,0 33.35234142400003,35.15925947100004,0 33.35247064800007,35.15968523700008,0",9,374467,1,0,16,1,21,540402,663,2,DCDB,1019
540402," 33.35046680800008,35.15953601200005,0 33.35053224300003,35.15953334300008,0 33.35054529300004,35.15953281100008,0 33.35057637700004,35.15962555800007,0 33.35029426500006,35.15974922600003,0 33.35028745500006,35.15971912900005,0 33.35028158400007,35.15968507600007,0 33.35027840500004,35.15965321900006,0 33.35027569700003,35.15962096600003,0 33.35046680800008,35.15953601200005,0",10,375698,1,0,16,1,21,540402,859,2,DCDB,372
