Name,coordinates,FEATUREID,ΚΩΔΙΚΟΣ ΚΤΗΡΙΟΥ,ΚΩΔΙΚΟΣ ΥΨΟΥΣ ΚΤΗΡΙΟΥ,DXF_LAYER,Περιγραφή Κτηρίου,SYMBOL
BLDGGF," 33.36479613800003,35.16086050700005,0 33.36482887000005,35.16088935800008,0 33.36482237500007,35.16089447500008,0 33.36478898700005,35.16086590300006,0 33.36479613800003,35.16086050700005,0",11,1301,2,BLDGGF,Ισόγειο Κτίριο,24
BLDGGF," 33.36851921700003,35.16078542800005,0 33.36853886100005,35.16082680400007,0 33.36849818900004,35.16083903400005,0 33.36850219200005,35.16084908200003,0 33.36847168200006,35.16085842100006,0 33.36845305300005,35.16082111800006,0 33.36844648500005,35.16080796700004,0 33.36851921700003,35.16078542800005,0",12,1300,2,BLDGGF,Ισόγειο Κτίριο,24
BLDGGF," 33.36439246200007,35.16086344900003,0 33.36430564400007,35.16078948100005,0 33.36434577600005,35.16075572800003,0 33.36435656800006,35.16076537500004,0 33.36438495700003,35.16074247200004,0 33.36430107700005,35.16066850400006,0 33.36437792500004,35.16060943900004,0 33.36449760900007,35.16071436000004,0 33.36445160000005,35.16075132700007,0 33.36449132900003,35.16078429100003,0 33.36439246200007,35.16086344900003,0",13,1301,2,BLDGGF,Ισόγειο Κτίριο,24
BLDGGF," 33.35901017700007,35.16085396600005,0 33.35895740700005,35.16086005700004,0 33.35888739500007,35.16051252500006,0 33.35893238800003,35.16050766500007,0 33.35894113200004,35.16050036300004,0 33.35895337600005,35.16049267400007,0 33.35897056700003,35.16048821500004,0 33.35899183400005,35.16048758800002,0 33.35901129300004,35.16049178800006,0 33.35901687600006,35.16049636300005,0 33.35906435400005,35.16048934400004,0 33.35907776300007,35.16055629100003,0 33.35932364300004,35.16052858100005,0 33.35933127600003,35.16056727500006,0 33.35935422300003,35.16058097700005,0 33.35935923300008,35.16059361000004,0 33.35935963800006,35.16061186200005,0 33.35935730600005,35.16061690800007,0 33.35935357100004,35.16062253100006,0 33.35934801700006,35.16062640900003,0 33.35934988100007,35.16066966800003,0 33.35910847700006,35.16070110700008,0 33.35913477600008,35.16083967000003,0 33.35908819500003,35.16084505900005,0 33.35907302200008,35.16085765600008,0 33.35905966700005,35.16086269800007,0 33.35904185900006,35.16086421700004,0 33.35901990300005,35.16085981700007,0 33.35901017700007,35.16085396600005,0",14,1301,2,BLDGGF,Ισόγειο Κτίριο,24
BLDGGF," 33.36833401200005,35.16069072800008,0 33.36839136200007,35.16080603500006,0 33.36830953000003,35.16083170500008,0 33.36828862500005,35.16079515500007,0 33.36826165300005,35.16080089400003,0 33.36820875100005,35.16082041700003,0 33.36817185400003,35.16074769800008,0 33.36833401200005,35.16069072800008,0",15,1300,2,BLDGGF,Ισόγειο Κτίριο,24
BLDGGF," 33.36693345800006,35.16071099100003,0 33.36681705300003,35.16079265800005,0 33.36681363300005,35.16078943600007,0 33.36676748600007,35.16074597000005,0 33.36677252100003,35.16074215900005,0 33.36675505200003,35.16072649000006,0 33.36685518500008,35.16065645500004,0 33.36688059100004,35.16068055700004,0 33.36689201500008,35.16067292500003,0 33.36693345800006,35.16071099100003,0",16,1301,2,BLDGGF,Ισόγειο Κτίριο,24
BLDGGF," 33.36877606000007,35.16070583200008,0 33.36879622600003,35.16075778800007,0 33.36873673200006,35.16077542400007,0 33.36873297800003,35.16076791000006,0 33.36869231100008,35.16077958700004,0 33.36867205000004,35.16073806500003,0 33.36877606000007,35.16070583200008,0",17,1300,2,BLDGGF,Ισόγειο Κτίριο,24
BLDGGF," 33.36938589100004,35.16058379900005,0 33.36942826100005,35.16072644200006,0 33.36940376500007,35.16073177500005,0 33.36939797300005,35.16074386800005,0 33.36938873000003,35.16075396500003,0 33.36937800300007,35.16076286200007,0 33.36936625800007,35.16076733700004,0 33.36935645800003,35.16076898700004,0 33.36933973800007,35.16076503500005,0 33.36932644800004,35.16076026400003,0 33.36931457900005,35.16074904900006,0 33.36928469300005,35.16075561300005,0 33.36924548800005,35.16064111600008,0 33.36923273400004,35.16064197500003,0 33.36922761700004,35.16061624700006,0 33.36938589100004,35.16058379900005,0",18,1300,2,BLDGGF,Ισόγειο Κτίριο,24
BLDGGF," 33.36883594400007,35.16068727500004,0 33.36884740500005,35.16071333400004,0 33.36885328300008,35.16071130000006,0 33.36886380400006,35.16073943300006,0 33.36879688400006,35.16075948100007,0 33.36879622600003,35.16075778800007,0 33.36877606000007,35.16070583200008,0 33.36882871800003,35.16068951400007,0 33.36882965900003,35.16068922300008,0 33.36883594400007,35.16068727500004,0",19,1300,2,BLDGGF,Ισόγειο Κτίριο,24
BLDGGF," 33.36305551700008,35.16066222500007,0 33.36313335600005,35.16060396000006,0 33.36318634100007,35.16065381200008,0 33.36315990500003,35.16067229400005,0 33.36316824400007,35.16068073700006,0 33.36310704900006,35.16072533900007,0 33.36309723700003,35.16071569200005,0 33.36302135700004,35.16077234900007,0 33.36296837200007,35.16072289900006,0 33.36298550500004,35.16071084400005,0 33.36296882600004,35.16069516600004,0 33.36295169200002,35.16070842700003,0 33.36289625300003,35.16065777100005,0 33.36290213200005,35.16065536000008,0 33.36268528300008,35.16045635100005,0 33.36276557400004,35.16039688200004,0 33.36281610200007,35.16044150900007,0 33.36286799900006,35.16040413900004,0 33.36292098600006,35.16045439400006,0 33.36286860100006,35.16049136100003,0 33.36288773200005,35.16050784400005,0 33.36290095100003,35.16049820000006,0 33.36292695300006,35.16052272500008,0 33.36293429400007,35.16051589400007,0 33.36296127800006,35.16054162400008,0 33.36293875600006,35.16055689300004,0 33.36298095000007,35.16059709500007,0 33.36300396200005,35.16058182700004,0 33.36303339500006,35.16060675300003,0 33.36302507700003,35.16061639700007,0 33.36304764500005,35.16063810700007,0 33.36303736600007,35.16064654500008,0 33.36305551700008,35.16066222500007,0",20,1301,2,BLDGGF,Ισόγειο Κτίριο,24
