Name,coordinates,FEATUREID,ΟΝΟΜΑ ΕΝΟΡΙΑΣ,ΚΩΔΙΚΟΣ ΕΠΑΡΧΙΑΣ,ΚΩΔΙΚΟΣ ΔΗΜΟΥ/ΚΟΙΝΟΤΗΤΑΣ,ΚΩΔΙΚΟΣ ΕΝΟΡΙΑΣ
ΑΓΙΟΣ ΑΝΤΩΝΙΟΣ,"<MultiGeometry><Polygon><outerBoundaryIs><LinearRing><coordinates> 33.36397284800006,35.16447668500007,0 33.36416101600003,35.16424497600008,0 33.36431094500006,35.16406667500007,0 33.36438278500003,35.16398634200004,0 33.36447273300007,35.16388530600005,0 33.36455890800005,35.16380344300006,0 33.36508647400007,35.16320856200008,0 33.36523461400003,35.16305564200007,0 33.36536198600004,35.16293577000005,0 33.36544166100003,35.16287226000003,0 33.36551723600007,35.16281792600006,0 33.36581432200006,35.16261497400006,0 33.36633980400006,35.16229277600007,0 33.36657215400004,35.16210716400008,0 33.36684256300003,35.16193706500008,0 33.36707832100007,35.16179931800008,0 33.36725883200006,35.16169921600005,0 33.36744381500006,35.16160754700007,0 33.36780992500007,35.16143913500008,0 33.36795431600007,35.16137419700004,0 33.36800085100003,35.16135752000002,0 33.36831563300007,35.16122957100004,0 33.36851343200004,35.16115398200003,0 33.36885671000005,35.16103599600007,0 33.36908740500007,35.16096753900007,0 33.36929512700004,35.16091284600003,0 33.36949901800006,35.16087628000003,0 33.36980976400002,35.16082362200007,0 33.37027094100006,35.16075110200006,0 33.37075437200008,35.16067450600008,0 33.37086696200004,35.16065397600005,0 33.37110854100007,35.16061655200008,0 33.37130689200006,35.16058456400003,0 33.37144872300007,35.16055487200003,0 33.37164792000004,35.16050636200004,0 33.37180588700005,35.16046530700004,0 33.37200859000006,35.16036199600006,0 33.37211758200004,35.16028370300006,0 33.37219195900008,35.16017400800007,0 33.37224075700004,35.16009760000003,0 33.37245171000006,35.15971473700006,0 33.37408914200006,35.15992498300005,0 33.37513815900007,35.16002276500007,0 33.37507621200007,35.16017244900007,0 33.37487818600005,35.16058802100002,0 33.37445476700003,35.16152285300007,0 33.37417579300006,35.16215049600004,0 33.37388379900006,35.16280962900004,0 33.37365858100003,35.16334036500007,0 33.37376492900006,35.16336640600008,0 33.37403222200004,35.16342547400006,0 33.37440245300007,35.16351462900008,0 33.37461651400002,35.16355383000007,0 33.37468534400006,35.16355871700006,0 33.37483874500003,35.16357083700007,0 33.37517210700003,35.16360778700005,0 33.37524104800008,35.16361424200005,0 33.37524070000006,35.16379862100007,0 33.37525044900008,35.16387674900005,0 33.37524440300007,35.16390892700008,0 33.37523401600004,35.16394756300008,0 33.37521488800007,35.16399388000008,0 33.37519081600004,35.16403621700005,0 33.37517244000003,35.16406176900006,0 33.37508814600005,35.16419413800003,0 33.37502028300003,35.16432635500007,0 33.37491694900007,35.16461180900006,0 33.37485931100008,35.16477077300004,0 33.37479913900006,35.16500577800008,0 33.37476554100005,35.16525928400006,0 33.37476737800006,35.16538570600005,0 33.37479709000007,35.16565864900008,0 33.37493011900006,35.16624904700007,0 33.37496802700008,35.16640938600006,0 33.37502248100003,35.16674305500004,0 33.37504409800005,35.16688506000003,0 33.37506776700008,35.16699770200006,0 33.37507238300003,35.16715597600006,0 33.37507024700005,35.16723686800003,0 33.37505757200006,35.16733009400008,0 33.37506056100006,35.16742488200003,0 33.37517537300005,35.16805763200006,0 33.37541408300007,35.16913367500007,0 33.37544263000007,35.16951907200007,0 33.37542883500004,35.16968625100003,0 33.37539087300007,35.16982643800003,0 33.37517686500007,35.17009054200003,0 33.37515694300004,35.17011978000005,0 33.37515149800004,35.17014927300005,0 33.37513799500005,35.17038460700007,0 33.37513139700008,35.17068328100004,0 33.37512559600003,35.17069019600007,0 33.37487760400006,35.17089535400004,0 33.37509191100003,35.17105103700004,0 33.37514271500004,35.17108886500006,0 33.37514776300003,35.17117619000004,0 33.37461225900006,35.17148220700005,0 33.37453723500005,35.17152854500006,0 33.37445921700004,35.17157764000007,0 33.37438767100008,35.17162200900003,0 33.37431908800005,35.17166522300005,0 33.37424997900007,35.17171003400006,0 33.37417597500007,35.17175436800005,0 33.37411584000006,35.17179167400008,0 33.37409551900004,35.17180182400006,0 33.37401525400003,35.17184084400003,0 33.37386468400007,35.17191098400008,0 33.37378892700008,35.17194483600008,0 33.37371118300007,35.17198027700005,0 33.37364127200004,35.17190196100006,0 33.37363242200007,35.17189655800007,0 33.37353493300003,35.17193611700003,0 33.37343993700006,35.17197409900007,0 33.37336770900004,35.17200277600006,0 33.37328952400003,35.17203417800005,0 33.37320790300004,35.17206593400005,0 33.37313173500007,35.17209494800005,0 33.37306147300006,35.17212284900006,0 33.37298328700007,35.17215426000007,0 33.37289917600003,35.17218758500007,0 33.37282106300006,35.17221576900005,0 33.37279729600004,35.17222586600008,0 33.37274390800008,35.17224477400004,0 33.37272461600003,35.17225212800003,0 33.37266483900004,35.17227133600005,0 33.37264257400005,35.17227985500006,0 33.37258473100007,35.17230070200003,0 33.37256537600007,35.17231087000005,0 33.37250952000005,35.17233054300004,0 33.37249168800003,35.17233832200003,0 33.37243184700003,35.17236034900003,0 33.37241502600006,35.17236692800003,0 33.37235865300005,35.17238780200006,0 33.37228653000005,35.17241044900004,0 33.37226427600007,35.17241856300007,0 33.37219754400007,35.17244209900008,0 33.37206698900008,35.17248960500007,0 33.37205070300007,35.17249419100006,0 33.37199286900005,35.17251423600004,0 33.37197410200002,35.17251959000004,0 33.37191077300003,35.17254397200003,0 33.37182325600003,35.17257524300004,0 33.37166106300003,35.17263394700007,0 33.37151125800006,35.17268640100008,0 33.37144054100003,35.17271188600006,0 33.37142446300004,35.17271638200003,0 33.37135002900004,35.17274512200004,0 33.37126079800004,35.17263110500005,0 33.37119790100007,35.17261221600006,0 33.37118136600003,35.17260655500007,0 33.37112824800005,35.17258805800003,0 33.37110110400005,35.17257556900006,0 33.37104564700007,35.17255420700008,0 33.37102378600002,35.17254421200005,0 33.37097333100007,35.17251850400004,0 33.37095682800003,35.17251060800004,0 33.37090153000003,35.17248241400006,0 33.37088702300008,35.17247253200003,0 33.37081229200004,35.17243558700005,0 33.37076235000006,35.17240784100005,0 33.37073564900004,35.17239660500007,0 33.37067797700007,35.17236434800003,0 33.37065858600005,35.17235400000004,0 33.37060573700006,35.17232623800004,0 33.37058974900003,35.17231715100007,0 33.37052631100005,35.17227956900007,0 33.37051233000005,35.17226849800005,0 33.37042141600006,35.17220958700005,0 33.37032195600006,35.17225629200004,0 33.37011970300006,35.17191685800003,0 33.37007485900006,35.17184402600003,0 33.37024369400007,35.17177117100005,0 33.37033858200005,35.17189467600008,0 33.37036293300002,35.17191769400006,0 33.37037259600004,35.17192258400007,0 33.37040882500003,35.17193446400006,0 33.37045032400005,35.17194261100008,0 33.37045812600007,35.17194226400005,0 33.37049952800004,35.17193888400004,0 33.37051211500005,35.17193501100007,0 33.37054692500004,35.17192305400005,0 33.37055747000005,35.17191619000005,0 33.37058111100004,35.17189795500008,0 33.37058798900006,35.17189095700007,0 33.37060913200003,35.17186265600003,0 33.37061378100003,35.17185428100004,0 33.37062676000005,35.17183058100005,0 33.37062998400006,35.17182384600005,0 33.37048250500004,35.17077288900003,0 33.36983382600005,35.17066329800008,0 33.36926246700006,35.17057009000007,0 33.36924899300004,35.17061122300004,0 33.36920729100007,35.17062268800004,0 33.36920028900005,35.17062604300003,0 33.36917253400003,35.17064657800006,0 33.36916067600004,35.17065933700008,0 33.36914640500004,35.17067275400007,0 33.36914174500004,35.17068073400003,0 33.36913626000006,35.17070228500006,0 33.36913492900004,35.17071527400003,0 33.36912708200003,35.17074821000006,0 33.36910278900007,35.17074519300007,0 33.36911303400007,35.17076951400003,0 33.36911795800006,35.17077934500003,0 33.36913406100007,35.17079485800008,0 33.36914585600005,35.17080557900005,0 33.36926381800004,35.17086929300007,0 33.36916241300003,35.17099701400008,0 33.36868337900006,35.17075946500006,0 33.36855333400007,35.17093078600004,0 33.36846678700005,35.17105413000007,0 33.36820860000006,35.17139126400008,0 33.36818662000007,35.17141650000008,0 33.36818451100004,35.17143247300004,0 33.36818824100004,35.17144419600004,0 33.36819595000003,35.17146746500004,0 33.36827529600004,35.17163159200004,0 33.36832368400008,35.17175516400005,0 33.36841966800006,35.17230185600005,0 33.36843930800006,35.17245970800008,0 33.36839883100004,35.17246685500004,0 33.36834763900004,35.17247010400007,0 33.36815402900004,35.17248041000005,0 33.36801389600004,35.17249053800003,0 33.36795255100003,35.17249312400003,0 33.36790235200004,35.17248858600004,0 33.36784394100005,35.17246657500004,0 33.36779285800003,35.17243392500006,0 33.36777694200004,35.17241806000004,0 33.36767226800004,35.17229750300004,0 33.36720365300005,35.17243214300004,0 33.36696085600005,35.17249177700006,0 33.36682682300005,35.17252941800007,0 33.36657734200003,35.17213781400005,0 33.36669023800005,35.17209030300006,0 33.36657129600008,35.17182908700005,0 33.36654245300008,35.17176280000007,0 33.36648206000007,35.17160541600003,0 33.36642537000006,35.17145434600008,0 33.36638567500006,35.17132484800004,0 33.36634547700004,35.17118125300004,0 33.36633191900006,35.17114166500005,0 33.36621740300006,35.17114480400005,0 33.36598208200007,35.17114675100004,0 33.36581360900004,35.17113772800008,0 33.36565971300007,35.17112832800007,0 33.36534750700002,35.17110889700007,0 33.36538761800006,35.17105544500004,0 33.36545845000006,35.17096749400002,0 33.36567463800003,35.17069465600008,0 33.36591255000008,35.17037641800005,0 33.36605028300005,35.17018690000003,0 33.36612406600005,35.17006234700006,0 33.36615094800004,35.16999275600006,0 33.36617737500006,35.16991691800007,0 33.36616853200007,35.16988764800004,0 33.36613682500007,35.16985903700004,0 33.36604670000003,35.16982465400002,0 33.36595671400005,35.16980377200008,0 33.36586876200005,35.16980446700006,0 33.36569440800002,35.16982682000003,0 33.36557246900003,35.16983900200006,0 33.36548648100006,35.16984072400004,0 33.36537476200004,35.16983583100006,0 33.36528321600008,35.16982904600008,0 33.36528287000004,35.16942546500007,0 33.36530618200004,35.16942505900005,0 33.36530709600004,35.16926656600003,0 33.36524131400006,35.16926377200008,0 33.36516156800008,35.16925868600004,0 33.36511526500004,35.16924774600005,0 33.36507470500004,35.16922657300006,0 33.36504842400007,35.16920085200007,0 33.36503195500006,35.16917498200007,0 33.36502555200008,35.16915057800003,0 33.36502655500004,35.16912078900003,0 33.36503020500004,35.16909665100008,0 33.36504249300003,35.16906833600007,0 33.36506356300004,35.16904530000005,0 33.36508602400005,35.16903153700002,0 33.36510724400006,35.16901978500005,0 33.36544902300005,35.16890114200004,0 33.36627663200005,35.16861474300004,0 33.36634369600006,35.16851059700008,0 33.36647888200002,35.16822085500007,0 33.36725554400005,35.16844117100004,0 33.36682373200006,35.16742867100004,0 33.36634230700003,35.16629148000004,0 33.36571138400007,35.16485163200008,0 33.36571060000006,35.16477145300007,0 33.36563849900006,35.16476719200006,0 33.36560568000004,35.16476350200003,0 33.36554458100005,35.16474972900005,0 33.36549081600003,35.16473807900007,0 33.36539699400004,35.16471618900005,0 33.36525634100008,35.16468033100006,0 33.36515621800004,35.16465512700006,0 33.36500837300002,35.16461192600008,0 33.36473624800004,35.16452626100005,0 33.36444773300008,35.16445204900003,0 33.36425098500007,35.16445044300008,0 33.36416177300004,35.16444554000003,0 33.36407404200003,35.16444106100005,0 33.36405882000003,35.16444165300004,0 33.36402571300005,35.16445286000004,0 33.36398061700004,35.16447435600003,0 33.36397284800006,35.16447668500007,0</coordinates></LinearRing></outerBoundaryIs></Polygon></MultiGeometry>",1,ΑΓΙΟΣ ΑΝΤΩΝΙΟΣ,1,0,8
ΤΡΥΠΙΩΤΗΣ,"<MultiGeometry><Polygon><outerBoundaryIs><LinearRing><coordinates> 33.36627663200005,35.16861474300004,0 33.36544902300005,35.16890114200004,0 33.36510724400006,35.16901978500005,0 33.36508602400005,35.16903153700002,0 33.36506356300004,35.16904530000005,0 33.36504249300003,35.16906833600007,0 33.36503020500004,35.16909665100008,0 33.36502655500004,35.16912078900003,0 33.36502555200008,35.16915057800003,0 33.36503195500006,35.16917498200007,0 33.36504842400007,35.16920085200007,0 33.36507470500004,35.16922657300006,0 33.36511526500004,35.16924774600005,0 33.36516156800008,35.16925868600004,0 33.36524131400006,35.16926377200008,0 33.36530709600004,35.16926656600003,0 33.36530618200004,35.16942505900005,0 33.36528287000004,35.16942546500007,0 33.36413630800007,35.16944541100003,0 33.36271736300006,35.16946933700007,0 33.36272627800003,35.16964347200008,0 33.36274903900005,35.16979019400003,0 33.36276034100007,35.16987792000003,0 33.36277459700006,35.16991121800004,0 33.36278533300003,35.16995031200003,0 33.36283516800006,35.17014271800008,0 33.36285856200004,35.17026091400004,0 33.36286404400005,35.17028970800004,0 33.36302784900005,35.17078727400008,0 33.36313570900006,35.17105635700006,0 33.36324221300004,35.17130039400007,0 33.36326574000003,35.17136350200008,0 33.36329094900003,35.17143164800007,0 33.36332868900007,35.17155000900004,0 33.36334963100006,35.17162295000003,0 33.36314831200008,35.17167811700006,0 33.36304417100007,35.17170467500006,0 33.36290223400005,35.17174293700003,0 33.36281114700006,35.17177482400007,0 33.36277341300007,35.17178051700006,0 33.36262764800006,35.17180451300004,0 33.36269092700007,35.17214181400004,0 33.36252471500006,35.17217128000004,0 33.36236366400004,35.17220419500006,0 33.36192964700007,35.17173905200008,0 33.36178898600008,35.17150593800005,0 33.36105737900004,35.17176342300007,0 33.36091630900006,35.17180246600003,0 33.36089337300007,35.17167316700005,0 33.36086279100005,35.17147392900006,0 33.36084258900007,35.17122945200003,0 33.36046283600007,35.17122729600004,0 33.36032135100004,35.17122926000008,0 33.35972123900007,35.17125462800004,0 33.35962319400005,35.17126898600003,0 33.35960729500005,35.17124016800005,0 33.35952405000006,35.17105773200007,0 33.35951414100003,35.17104402700005,0 33.35950643200005,35.17103662200003,0 33.35950046800008,35.17103061100005,0 33.35948541300007,35.17101840400005,0 33.35947230400006,35.17101102800007,0 33.35946259900004,35.17100725500006,0 33.35944413600004,35.17100554000007,0 33.35942348900005,35.17100705400003,0 33.35938718500006,35.17101549300003,0 33.35934472100007,35.17102436000005,0 33.35932114600007,35.17102669300004,0 33.35931056400005,35.17102634600008,0 33.35929824800007,35.17102460100006,0 33.35928096700008,35.17101865000007,0 33.35926959200003,35.17101226500006,0 33.35926115800004,35.17100526400003,0 33.35924199200008,35.17098282900003,0 33.35916309800007,35.17089366800008,0 33.35886481800003,35.17105797100004,0 33.35882479800006,35.17108014900003,0 33.35879654400003,35.17109859000004,0 33.35878037600003,35.17105800100006,0 33.35875957300004,35.17101265700006,0 33.35867762600003,35.17105803900006,0 33.35847845000006,35.17116564300005,0 33.35838948300005,35.17105814100006,0 33.35837730300005,35.17104327500005,0 33.35852711200005,35.17094596300007,0 33.35854982100005,35.17090199900008,0 33.35855530800006,35.17085732800007,0 33.35854578800007,35.17081092500007,0 33.35852752700004,35.17077603300004,0 33.35848864300004,35.17074305100005,0 33.35844332600004,35.17073242300006,0 33.35841775000006,35.17073014200003,0 33.35751303500007,35.17090478900008,0 33.35714666000007,35.17097809400008,0 33.35675625000005,35.17086089800006,0 33.35665272300003,35.17082982000005,0 33.35619224600004,35.17105890400006,0 33.35530500300007,35.17146489200007,0 33.35522444900005,35.17149257000006,0 33.35519559500006,35.17149926600007,0 33.35512553600006,35.17150592400003,0 33.35510098100008,35.17150413000007,0 33.35502778600005,35.17149874500007,0 33.35500859800004,35.17149529100004,0 33.35498487100006,35.17148262600006,0 33.35494825500007,35.17146202600003,0 33.35493582500004,35.17145087200004,0 33.35489293800004,35.17140376700007,0 33.35488628800005,35.17138531100005,0 33.35465508800007,35.17105941500006,0 33.35441238400006,35.17075480300008,0 33.35431566000005,35.17063994600005,0 33.35357996100004,35.16982590900005,0 33.35347882600007,35.16971110700007,0 33.35330647900003,35.16952613500007,0 33.35309616600006,35.16931911200004,0 33.35296959900006,35.16917538600006,0 33.35132035400005,35.16743428500007,0 33.35091896100005,35.16695170800006,0 33.35120688600006,35.16681471600003,0 33.35135229900004,35.16672786000004,0 33.35149980200004,35.16662766400003,0 33.35161261300004,35.16653414800004,0 33.35166031700004,35.16646517600003,0 33.35171820100004,35.16633719300006,0 33.35174457500006,35.16626016100003,0 33.35176043000007,35.16617565100006,0 33.35179633700005,35.16594411500006,0 33.35180052400006,35.16580946100004,0 33.35175902000003,35.16560108600004,0 33.35168877700005,35.16538276800003,0 33.35163247600008,35.16524357200007,0 33.35199742100008,35.16518225400006,0 33.35193142400004,35.16488648800004,0 33.35309402000007,35.16469104400005,0 33.35329695100006,35.16465097300005,0 33.35437360500004,35.16446025900007,0 33.35428558500007,35.16396439600004,0 33.35426122200005,35.16380720000007,0 33.35422057900007,35.16355138900008,0 33.35514940900004,35.16346910500005,0 33.35516503200006,35.16352336700004,0 33.35532050900002,35.16350133300006,0 33.35533036800007,35.16354945900002,0 33.35565700300003,35.16363306200003,0 33.35605706200005,35.16357612900004,0 33.35611675300004,35.16378587600008,0 33.35648008900006,35.16360138400006,0 33.35667517400003,35.16346413100007,0 33.35672387100004,35.16344660200008,0 33.35693517700003,35.16337054200005,0 33.35750900300008,35.16332712600007,0 33.35767213400004,35.16331505400007,0 33.35777437900003,35.16375268700006,0 33.35811831000007,35.16372109200006,0 33.35817144200007,35.16380587600003,0 33.35823008300002,35.16388705300005,0 33.35828524900006,35.16395577500003,0 33.35837240600006,35.16406186200004,0 33.35835823600007,35.16408117300006,0 33.35854506800007,35.16421810200006,0 33.35869840000004,35.16381344800004,0 33.35874206100004,35.16381461300006,0 33.35875037600005,35.16380566900006,0 33.35879284900005,35.16368060900004,0 33.35885314200004,35.16350622300007,0 33.35897050000006,35.16317360300008,0 33.35898712200003,35.16310063800006,0 33.35899269200007,35.16300969500003,0 33.35900072600003,35.16288493400003,0 33.35900026100006,35.16281778000007,0 33.35898263100006,35.16274999000007,0 33.35894626600003,35.16264016300005,0 33.35890432700006,35.16255211300006,0 33.35885668600002,35.16247617800008,0 33.35878547400006,35.16236308200007,0 33.35875939500005,35.16232111800008,0 33.35913299300006,35.16246583900005,0 33.35953001900003,35.16274139200004,0 33.35980293400007,35.16290758900004,0 33.36008554900008,35.16306604900007,0 33.36039635000003,35.16320854500003,0 33.36092216000003,35.16344581200008,0 33.36122620800006,35.16359760100005,0 33.36145249500004,35.16372564300008,0 33.36158418000008,35.16380461700004,0 33.36192511100006,35.16399942800007,0 33.36202176300003,35.16405869500005,0 33.36234681800005,35.16422272200003,0 33.36242695000004,35.16425968800007,0 33.36250638300004,35.16428296500004,0 33.36256089800003,35.16430186200006,0 33.36269088200004,35.16432303700003,0 33.36293891400004,35.16437408800005,0 33.36379984600006,35.16448546100003,0 33.36389633700003,35.16449288500007,0 33.36393569100005,35.16448781300005,0 33.36397284800006,35.16447668500007,0 33.36398061700004,35.16447435600003,0 33.36402571300005,35.16445286000004,0 33.36405882000003,35.16444165300004,0 33.36407404200003,35.16444106100005,0 33.36416177300004,35.16444554000003,0 33.36425098500007,35.16445044300008,0 33.36444773300008,35.16445204900003,0 33.36473624800004,35.16452626100005,0 33.36500837300002,35.16461192600008,0 33.36515621800004,35.16465512700006,0 33.36525634100008,35.16468033100006,0 33.36539699400004,35.16471618900005,0 33.36549081600003,35.16473807900007,0 33.36554458100005,35.16474972900005,0 33.36560568000004,35.16476350200003,0 33.36563849900006,35.16476719200006,0 33.36571060000006,35.16477145300007,0 33.36571138400007,35.16485163200008,0 33.36634230700003,35.16629148000004,0 33.36682373200006,35.16742867100004,0 33.36725554400005,35.16844117100004,0 33.36647888200002,35.16822085500007,0 33.36634369600006,35.16851059700008,0 33.36627663200005,35.16861474300004,0</coordinates></LinearRing></outerBoundaryIs></Polygon></MultiGeometry>",2,ΤΡΥΠΙΩΤΗΣ,1,0,2
