Name,coordinates,FEATUREID,ΦΥΛΛΟ/ΣΧΕΔΙΟ
21/1012V03,"<MultiGeometry><Polygon><outerBoundaryIs><LinearRing><coordinates> 33.34425632500006,35.14753429700005,0 33.34427632600006,35.14753422500007,0 33.34429662600007,35.14753415100006,0 33.34434177200006,35.14753398600004,0 33.35021114000006,35.14751249800003,0 33.35021114900007,35.14753200000007,0 33.35021346100007,35.15292999500008,0 33.34876494600007,35.15293040500006,0 33.34867340500006,35.15293043100007,0 33.34666636700007,35.15293096900007,0 33.34425824400006,35.15293156900003,0 33.34425689800003,35.14914793000003,0 33.34425632500006,35.14753429700005,0</coordinates></LinearRing></outerBoundaryIs></Polygon></MultiGeometry>",1,21/1012V03
21/1012V01,"<MultiGeometry><Polygon><outerBoundaryIs><LinearRing><coordinates> 33.34666636700007,35.15293096900007,0 33.34666637100003,35.15294146900004,0 33.34666638800007,35.15298405600004,0 33.34666776300003,35.15655714800005,0 33.34666815100007,35.15756578600008,0 33.34666815600008,35.15757880700005,0 33.34425989600004,35.15757943000006,0 33.33777741800003,35.15758087000006,0 33.33777123000004,35.15758087100005,0 33.33777071200007,35.15570446100003,0 33.33776995800002,35.15297081900008,0 33.33776995000005,35.15294344600005,0 33.33776994700003,35.15293295100003,0 33.34425277900004,35.15293157200006,0 33.34425824400006,35.15293156900003,0 33.34666636700007,35.15293096900007,0</coordinates></LinearRing></outerBoundaryIs></Polygon></MultiGeometry>",2,21/1012V01
