Name,coordinates,FEATUREID,ΦΥΛΛΟ/ΣΧΕΔΙΟ
21/54W1,"<MultiGeometry><Polygon><outerBoundaryIs><LinearRing><coordinates> 33.35309192900007,35.16018139600004,0 33.35670961000005,35.16018021100007,0 33.35750748200007,35.16017993500003,0 33.35750935900006,35.16380610900006,0 33.35751123700004,35.16743228100006,0 33.35674127700003,35.16743254700003,0 33.35309529200004,35.16743374200007,0 33.34867934700003,35.16743504400006,0 33.34426340200002,35.16743618300006,0 33.34426211100004,35.16381001000008,0 33.34426082300007,35.16018383600004,0 33.34867637600007,35.16018269600005,0 33.35309192900007,35.16018139600004,0</coordinates></LinearRing></outerBoundaryIs></Polygon></MultiGeometry>",1,21/54W1
21/54W2,"<MultiGeometry><Polygon><outerBoundaryIs><LinearRing><coordinates> 33.35021346100007,35.15292999500008,0 33.35308856700004,35.15292913100006,0 33.35667795500007,35.15292795600004,0 33.35750372900003,35.15292766900006,0 33.35750549600004,35.15655384800004,0 33.35750748200007,35.16017993500003,0 33.35670961000005,35.16018021100007,0 33.35309192900007,35.16018139600004,0 33.34867637600007,35.16018269600005,0 33.34426082300007,35.16018383600004,0 33.34425989600004,35.15757943000006,0 33.34425953300007,35.15655774900006,0 33.34425824800007,35.15294207000005,0 33.34425824400006,35.15293156900003,0 33.34666636700007,35.15293096900007,0 33.34867340500006,35.15293043100007,0 33.34876494600007,35.15293040500006,0 33.35021346100007,35.15292999500008,0</coordinates></LinearRing></outerBoundaryIs></Polygon></MultiGeometry>",2,21/54W2
21/62W1,"<MultiGeometry><Polygon><outerBoundaryIs><LinearRing><coordinates> 33.35750372900003,35.15292766900006,0 33.35667795500007,35.15292795600004,0 33.35308856700004,35.15292913100006,0 33.35021346100007,35.15292999500008,0 33.34876494600007,35.15293040500006,0 33.34867340500006,35.15293043100007,0 33.34666636700007,35.15293096900007,0 33.34425824400006,35.15293156900003,0 33.34425689800003,35.14914793000003,0 33.34425632500006,35.14753429700005,0 33.34425566600004,35.14567911600005,0 33.35021035500006,35.14567754100006,0 33.35664631000003,35.14567551000005,0 33.35749997600004,35.14567521600003,0 33.35750372900003,35.15292766900006,0</coordinates></LinearRing></outerBoundaryIs></Polygon></MultiGeometry>",3,21/62W1
21/54E2,"<MultiGeometry><Polygon><outerBoundaryIs><LinearRing><coordinates> 33.37074910200005,35.15292232200005,0 33.37075156800006,35.15654850000004,0 33.37075403200004,35.16017458500005,0 33.36633848000002,35.16017662000007,0 33.36192292700002,35.16017840300003,0 33.35750748200007,35.16017993500003,0 33.35750549600004,35.15655384800004,0 33.35750372900003,35.15292766900006,0 33.36191878000005,35.15292604700005,0 33.36633394100005,35.15292426600007,0 33.37074910200005,35.15292232200005,0</coordinates></LinearRing></outerBoundaryIs></Polygon></MultiGeometry>",4,21/54E2
21/55W1,"<MultiGeometry><Polygon><outerBoundaryIs><LinearRing><coordinates> 33.37958513800004,35.16017021400006,0 33.38400058000008,35.16016778800002,0 33.38400363400007,35.16379396100007,0 33.38400668900005,35.16742013100003,0 33.37959085300003,35.16742256000003,0 33.37517490900007,35.16742482600006,0 33.37075896300007,35.16742693100008,0 33.37075649700006,35.16380075900003,0 33.37075403200004,35.16017458500005,0 33.37516958600003,35.16017248000003,0 33.37958513800004,35.16017021400006,0</coordinates></LinearRing></outerBoundaryIs></Polygon></MultiGeometry>",5,21/55W1
21/55W2,"<MultiGeometry><Polygon><outerBoundaryIs><LinearRing><coordinates> 33.38399447600006,35.15291552600007,0 33.38400058000008,35.16016778800002,0 33.37958513800004,35.16017021400006,0 33.37516958600003,35.16017248000003,0 33.37075403200004,35.16017458500005,0 33.37075156800006,35.15654850000004,0 33.37074910200005,35.15292232200005,0 33.37516426400003,35.15292021700003,0 33.38399447600006,35.15291552600007,0</coordinates></LinearRing></outerBoundaryIs></Polygon></MultiGeometry>",6,21/55W2
